"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://lifeusa.org/","","301","Moved Permanently","Non-Indexable","Redirected","0","0.104","https://www.lifeusa.org/","HTTP Redirect"
"https://www.lifeusa.org/health","","301","Moved Permanently","Non-Indexable","Redirected","1","0.255","https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE7MAK","HTTP Redirect"
"https://www.lifeusa.org/education","","301","Moved Permanently","Non-Indexable","Redirected","1","2.162","https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE9MAK","HTTP Redirect"
"https://www.lifeusa.org/water","","301","Moved Permanently","Non-Indexable","Redirected","266","0.184","https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE8MAK","HTTP Redirect"
"https://www.lifeusa.org/community","","301","Moved Permanently","Non-Indexable","Redirected","2","0.122","https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE4MAK","HTTP Redirect"
"https://www.lifeusa.org/orphans","","301","Moved Permanently","Non-Indexable","Redirected","1","0.127","https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE5MAK","HTTP Redirect"
"https://www.lifeusa.org/emergency","","301","Moved Permanently","Non-Indexable","Redirected","270","0.117","https://donate.lifeusa.org/donorportal/emergency-relief?EmergencyReliefProgram=11WVy000001QlE2MAK","HTTP Redirect"
"https://www.lifeusa.org/copy-of-life-blog","","301","Moved Permanently","Non-Indexable","Redirected","15","0.132","https://www.lifeusa.org/annualreports","HTTP Redirect"
"http://www.lifeusa.org/","","301","Moved Permanently","Non-Indexable","Redirected","2","0.101","https://www.lifeusa.org/","HTTP Redirect"
"https://www.lifeusa.org/projects","","301","Moved Permanently","Non-Indexable","Redirected","1","0.253","https://www.lifeusa.org/programs","HTTP Redirect"
"https://www.lifeusa.org/_files/ugd/4dc3f8_7f98f5337713450f98d0577b2d3e6727.pdf","","301","Moved Permanently","Non-Indexable","Redirected","1","0.411","https://9add1cda-ad98-4392-b2a2-46583c82bd21.filesusr.com/ugd/4dc3f8_7f98f5337713450f98d0577b2d3e6727.pdf","HTTP Redirect"
"https://www.lifeusa.org/_files/ugd/799a91_ff97119804464320b9a97c0beb360381.pdf","","301","Moved Permanently","Non-Indexable","Redirected","1","0.462","https://9add1cda-ad98-4392-b2a2-46583c82bd21.filesusr.com/ugd/799a91_ff97119804464320b9a97c0beb360381.pdf","HTTP Redirect"
"https://www.lifeusa.org/_files/ugd/74d008_c8bac77dd04148ce81ccf87d5af31080.pdf","","301","Moved Permanently","Non-Indexable","Redirected","1","0.278","https://9add1cda-ad98-4392-b2a2-46583c82bd21.filesusr.com/ugd/74d008_c8bac77dd04148ce81ccf87d5af31080.pdf","HTTP Redirect"
"https://www.lifeusa.org/_files/ugd/74d008_167525ee5e464caabae4effe8d62c0a9.pdf","","301","Moved Permanently","Non-Indexable","Redirected","1","0.288","https://9add1cda-ad98-4392-b2a2-46583c82bd21.filesusr.com/ugd/74d008_167525ee5e464caabae4effe8d62c0a9.pdf","HTTP Redirect"
"https://www.lifeusa.org/_files/ugd/74d008_b26371a1b7734648baa35a3fe0f07b2c.pdf","","301","Moved Permanently","Non-Indexable","Redirected","1","0.281","https://9add1cda-ad98-4392-b2a2-46583c82bd21.filesusr.com/ugd/74d008_b26371a1b7734648baa35a3fe0f07b2c.pdf","HTTP Redirect"
"http://lifeusa.org/","","301","Moved Permanently","Non-Indexable","Redirected","0","0.176","https://lifeusa.org/","HTTP Redirect"
"https://www.lifeusa.org/winterwarmth","","301","Moved Permanently","Non-Indexable","Redirected","1","0.128","https://www.lifeusa.org/winterrelief","HTTP Redirect"
"https://www.lifeusa.org/ramadan","","301","Moved Permanently","Non-Indexable","Redirected","1","0.145","https://donate.lifeusa.org/donorportal/seasonal-designations","HTTP Redirect"
