"Address","Word Count","Indexability","Indexability Status"
"https://donate.lifeusa.org/donorportal/login","56","Indexable",""
"https://www.lifeusa.org/financial-reports","52","Indexable",""
"https://www.lifeusa.org/annualreports","34","Indexable",""
"https://www.lifeusa.org/lebanon-emergency-relief","199","Indexable",""
"https://donate.lifeusa.org/donorportal/udhiyah","87","Indexable",""
"https://donate.lifeusa.org/donorportal/?donate=true","9","Indexable",""
"https://www.lifeusa.org/media","180","Indexable",""
"https://www.lifeusa.org/waystogive","179","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE7MAK","9","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE9MAK","9","Indexable",""
"https://www.lifeusa.org/doublethedonation","112","Indexable",""
"https://donate.lifeusa.org/donorportal/SelfRegister","37","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE8MAK","9","Indexable",""
"https://www.lifeusa.org/no/categories/giving-charity","41","Indexable",""
"https://www.lifeusa.org/no/categories/tax-write-off","23","Indexable",""
"https://www.lifeusa.org/no/categories/philosophy","31","Indexable",""
"https://www.lifeusa.org/no/categories/purpose","31","Indexable",""
"https://donate.lifeusa.org/donorportal/emergency-relief?EmergencyReliefProgram=11WVy000001QlE2MAK","9","Indexable",""
"https://www.lifeusa.org/newsletters","23","Indexable",""
"https://www.lifeusa.org/press","34","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE4MAK","9","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE5MAK","9","Indexable",""
"https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=LebanonEmergencyRelief26&CampaignID=701Vy00001Nj9MLIAZ","34","Indexable",""
"https://donate.lifeusa.org/donorportal/cart","43","Indexable",""
"https://www.lifeusa.org/ukrainerelief","61","Indexable",""
"https://www.lifeusa.org/winterrelief","105","Indexable",""
"https://www.lifeusa.org/post/life-distributes-fresh-meat-in-texas","183","Indexable",""
"https://www.lifeusa.org/post/food-packages-maryland","152","Indexable",""
"https://www.lifeusa.org/post/hearing-aids-colorado","148","Indexable",""
"https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=UkraineEmergencyRelief&CampaignID=701Vy00001QJyCHIA1","34","Indexable",""
"https://www.lifeusa.org/post/life-provides-emergency-relief-to-gaza","158","Indexable",""
"https://www.lifeusa.org/post/life-provides-emergency-relief-to-gaza-1","158","Indexable",""
"https://www.lifeusa.org/post/life-distributes-udhiyah-meat-in-jordan","164","Indexable",""
"https://www.lifeusa.org/post/back-to-school-project-haiti","166","Indexable",""
"https://www.lifeusa.org/post/food-baskets-in-bangladesh","195","Indexable",""
"https://www.lifeusa.org/post/life-distributes-ramadan-food-baskets-in-lebanon","199","Indexable",""
"https://www.lifeusa.org/post/life-distributes-ramadan-food-baskets-in-haiti","191","Indexable",""
"https://www.lifeusa.org/post/furniture-for-new-horizon-s-ministries","177","Indexable",""
"https://www.lifeusa.org/post/life-distributes-udhiyah-meat-in-afghanistan","168","Indexable",""
"https://www.lifeusa.org/post/winter-blankets-bangladesh","160","Indexable",""
"https://www.lifeusa.org/post/life-distributes-fresh-meat-in-bosnia-and-herzegovina","148","Indexable",""
"https://www.lifeusa.org/post/life-distributes-ramadan-food-baskets-yemen","142","Indexable",""
"https://www.lifeusa.org/post/life-distributes-udhiyah-meat-in-somalia","147","Indexable",""
"https://www.lifeusa.org/post/life-distributes-fresh-meat-in-sudan","173","Indexable",""
"https://www.lifeusa.org/post/life-distributes-fresh-meat-in-djibouti","148","Indexable",""
"https://www.lifeusa.org/post/life-distributes-fresh-meat-in-ethiopia","163","Indexable",""
